matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
5700285,The Amber Hand,Kelvin,Grey Talon,Vindicta,Bebop,Haze,Viscous,Warden,McGinnis,Pocket,Yamato,Seven,Wraith
5700288,The Amber Hand,Dynamo,Seven,Abrams,Viscous,Infernus,Mo & Krill,Vindicta,Pocket,Haze,Paradox,Ivy,Wraith
5700290,The Amber Hand,Abrams,Warden,Vindicta,Dynamo,Haze,Wraith,Seven,Grey Talon,Lady Geist,Bebop,Yamato,Shiv
5700295,The Sapphire Flame,Haze,Pocket,Infernus,Dynamo,Wraith,Warden,Seven,Vindicta,Viscous,Lady Geist,Grey Talon,Ivy
5700296,The Sapphire Flame,Mo & Krill,Pocket,Kelvin,Haze,Abrams,McGinnis,Shiv,Warden,Bebop,Seven,Grey Talon,Vindicta
5700301,The Amber Hand,Vindicta,Abrams,McGinnis,Kelvin,Bebop,Seven,Wraith,Haze,Dynamo,Yamato,Grey Talon,Pocket
5700302,The Amber Hand,Dynamo,Abrams,Grey Talon,Lash,Infernus,Seven,Bebop,Pocket,Shiv,Yamato,Kelvin,Mo & Krill
5700303,The Amber Hand,McGinnis,Seven,Warden,Mo & Krill,Vindicta,Pocket,Grey Talon,Bebop,Haze,Yamato,Viscous,Wraith
5700304,The Sapphire Flame,Kelvin,Abrams,Wraith,Haze,Vindicta,Mo & Krill,Dynamo,Seven,McGinnis,Ivy,Viscous,Infernus
5700310,The Amber Hand,Wraith,Abrams,Seven,Shiv,Haze,Infernus,Vindicta,Grey Talon,Dynamo,Lady Geist,McGinnis,Bebop
5700311,The Sapphire Flame,Infernus,Vindicta,Bebop,Haze,Wraith,Paradox,Viscous,Seven,Mo & Krill,Shiv,Kelvin,Grey Talon
5700312,The Amber Hand,Seven,Dynamo,Wraith,Infernus,Mo & Krill,Shiv,Haze,Abrams,Grey Talon,Bebop,McGinnis,Kelvin
5700313,The Sapphire Flame,Shiv,Wraith,Abrams,Pocket,McGinnis,Vindicta,Haze,Yamato,Kelvin,Infernus,Dynamo,Grey Talon
5700318,The Amber Hand,Bebop,Warden,Abrams,Pocket,Paradox,McGinnis,Lady Geist,Ivy,Haze,Seven,Vindicta,Infernus
5700320,The Sapphire Flame,Abrams,Seven,Kelvin,Paradox,McGinnis,Yamato,Vindicta,Haze,Wraith,Grey Talon,Viscous,Infernus
5700321,The Amber Hand,Viscous,Lady Geist,Infernus,Wraith,Grey Talon,Seven,Dynamo,Shiv,Vindicta,Warden,Ivy,Bebop
5700322,The Sapphire Flame,Bebop,Shiv,Grey Talon,Paradox,Haze,Infernus,Seven,Mo & Krill,Warden,Lady Geist,Viscous,McGinnis
5700323,The Sapphire Flame,Vindicta,Seven,Abrams,Kelvin,Dynamo,Yamato,Haze,Bebop,Infernus,Grey Talon,Wraith,McGinnis
5700324,The Sapphire Flame,McGinnis,Infernus,Vindicta,Ivy,Warden,Abrams,Wraith,Dynamo,Lady Geist,Seven,Pocket,Haze
5700325,The Sapphire Flame,Haze,Bebop,Pocket,Viscous,Grey Talon,McGinnis,Wraith,Seven,Dynamo,Vindicta,Infernus,Warden
5700331,The Sapphire Flame,Shiv,McGinnis,Pocket,Paradox,Haze,Wraith,Infernus,Seven,Yamato,Lash,Warden,Abrams
5700332,The Sapphire Flame,Dynamo,Bebop,Mo & Krill,Yamato,Haze,Infernus,McGinnis,Seven,Kelvin,Wraith,Pocket,Vindicta
5700337,The Amber Hand,Lady Geist,Paradox,Wraith,Grey Talon,Infernus,Dynamo,Seven,Shiv,Haze,Pocket,Vindicta,McGinnis
5700338,The Sapphire Flame,Yamato,Grey Talon,Vindicta,Lash,Warden,Viscous,Seven,Haze,McGinnis,Wraith,Lady Geist,Abrams
5700342,The Amber Hand,Viscous,Infernus,Seven,Warden,Shiv,Lash,Wraith,McGinnis,Vindicta,Kelvin,Haze,Yamato
5700343,The Sapphire Flame,Grey Talon,Haze,Infernus,Paradox,Lash,Warden,Kelvin,Bebop,Pocket,Wraith,Vindicta,Seven
5700344,The Amber Hand,Vindicta,McGinnis,Kelvin,Infernus,Dynamo,Seven,Wraith,Shiv,Warden,Grey Talon,Lady Geist,Haze
5700345,The Sapphire Flame,Kelvin,Seven,Viscous,Paradox,Infernus,Lady Geist,Shiv,Vindicta,Bebop,Lash,Pocket,Haze
