matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300154,The Amber Hand,Dynamo,McGinnis,Lady Geist,Pocket,Wraith,Infernus,Haze,Bebop,Seven,Kelvin,Vindicta,Paradox
6300155,The Sapphire Flame,Pocket,Dynamo,Viscous,Bebop,Seven,Grey Talon,Abrams,Paradox,Vindicta,McGinnis,Lash,Infernus
6300156,The Sapphire Flame,Vindicta,McGinnis,Bebop,Yamato,Lash,Kelvin,Haze,Wraith,Grey Talon,Pocket,Seven,Shiv
6300157,The Amber Hand,McGinnis,Seven,Haze,Grey Talon,Pocket,Yamato,Kelvin,Ivy,Abrams,Warden,Infernus,Vindicta
6300158,The Sapphire Flame,Dynamo,Grey Talon,Abrams,Haze,Vindicta,Lady Geist,Warden,Wraith,Bebop,Infernus,Seven,Kelvin
6300159,The Sapphire Flame,Bebop,Lash,Wraith,Vindicta,Dynamo,Haze,Yamato,Seven,McGinnis,Lady Geist,Infernus,Mo & Krill
6300165,The Sapphire Flame,Dynamo,Shiv,Yamato,Wraith,Vindicta,Lash,Haze,Grey Talon,Bebop,Seven,Warden,Infernus
6300166,The Amber Hand,Seven,Vindicta,McGinnis,Haze,Kelvin,Pocket,Yamato,Warden,Infernus,Grey Talon,Ivy,Wraith
6300167,The Amber Hand,Lady Geist,Haze,Seven,Bebop,Wraith,Grey Talon,Infernus,Paradox,Abrams,Pocket,Vindicta,Kelvin
6300168,The Sapphire Flame,Haze,Vindicta,Bebop,Viscous,McGinnis,Infernus,Paradox,Seven,Dynamo,Wraith,Yamato,Mo & Krill
6300169,The Amber Hand,Mo & Krill,Seven,Dynamo,Wraith,Yamato,McGinnis,Shiv,Warden,Vindicta,Pocket,Haze,Infernus
6300171,The Sapphire Flame,Warden,Vindicta,Lady Geist,Wraith,Abrams,Bebop,Dynamo,Shiv,Ivy,Haze,Mo & Krill,Infernus
6300172,The Amber Hand,Viscous,Dynamo,Haze,Seven,Lash,Shiv,McGinnis,Vindicta,Infernus,Wraith,Grey Talon,Bebop
6300173,The Sapphire Flame,McGinnis,Bebop,Infernus,Wraith,Vindicta,Seven,Haze,Lady Geist,Yamato,Grey Talon,Ivy,Warden
