matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6425124,20:01,0,shiv,lady geist,seven,infernus,haze,wraith,abrams,dynamo,bebop,kelvin,lash,mcginnis
6425131,27:52,0,haze,yamato,seven,lash,lady geist,paradox,bebop,ivy,vindicta,infernus,pocket,kelvin
6425132,12:45,1,mo & krill,viscous,haze,bebop,yamato,infernus,pocket,wraith,shiv,lash,seven,ivy
6425136,35:09,1,warden,mo & krill,abrams,seven,mcginnis,shiv,haze,lash,grey talon,lady geist,infernus,bebop
6425137,32:05,1,mcginnis,shiv,pocket,haze,wraith,yamato,warden,paradox,lady geist,grey talon,abrams,seven
6425138,33:05,0,yamato,infernus,vindicta,seven,ivy,bebop,grey talon,mo & krill,paradox,haze,lady geist,wraith
6425139,14:48,0,seven,grey talon,pocket,kelvin,lady geist,wraith,paradox,lash,dynamo,infernus,haze,mcginnis
6425140,13:37,0,wraith,infernus,haze,kelvin,vindicta,warden,abrams,viscous,mcginnis,seven,lady geist,bebop
6425142,26:11,1,warden,infernus,grey talon,vindicta,wraith,mcginnis,seven,paradox,haze,shiv,yamato,viscous
6425146,39:47,1,pocket,abrams,vindicta,seven,shiv,bebop,grey talon,mcginnis,wraith,ivy,haze,viscous
6425148,26:43,0,mcginnis,wraith,kelvin,lady geist,bebop,abrams,vindicta,paradox,grey talon,shiv,haze,dynamo
6425153,30:44,1,lash,grey talon,seven,ivy,haze,paradox,vindicta,wraith,kelvin,yamato,mcginnis,infernus
6425154,19:55,0,shiv,bebop,vindicta,viscous,paradox,kelvin,lady geist,abrams,wraith,grey talon,seven,infernus
6425156,25:41,0,mo & krill,haze,seven,vindicta,lash,mcginnis,wraith,infernus,bebop,shiv,grey talon,yamato
6425157,21:19,0,haze,mo & krill,paradox,pocket,wraith,bebop,lash,mcginnis,kelvin,ivy,grey talon,vindicta
6425158,28:14,1,abrams,seven,dynamo,vindicta,kelvin,wraith,lash,mcginnis,haze,bebop,yamato,infernus
6425161,13:52,1,haze,paradox,lady geist,infernus,pocket,abrams,warden,kelvin,ivy,shiv,dynamo,seven
6425163,49:16,1,pocket,yamato,warden,kelvin,bebop,infernus,haze,dynamo,mcginnis,abrams,shiv,vindicta
6425164,40:59,1,infernus,warden,shiv,abrams,haze,mo & krill,mcginnis,wraith,viscous,seven,bebop,lady geist
6425165,28:38,0,pocket,seven,wraith,vindicta,grey talon,warden,lash,bebop,dynamo,paradox,haze,ivy
6425166,23:30,0,mcginnis,yamato,vindicta,abrams,shiv,haze,infernus,bebop,seven,wraith,grey talon,kelvin
6425167,31:06,0,lash,infernus,kelvin,seven,haze,mcginnis,grey talon,bebop,dynamo,viscous,abrams,vindicta
6425172,37:36,1,wraith,seven,grey talon,haze,infernus,shiv,vindicta,dynamo,mcginnis,abrams,paradox,bebop
6425173,18:29,0,warden,mcginnis,seven,lady geist,pocket,abrams,paradox,viscous,haze,vindicta,infernus,bebop
6425177,37:30,1,grey talon,lady geist,mo & krill,wraith,mcginnis,dynamo,infernus,lash,bebop,haze,vindicta,paradox
6425182,16:08,1,warden,vindicta,shiv,grey talon,ivy,infernus,bebop,mcginnis,mo & krill,seven,abrams,kelvin
6425183,38:18,0,abrams,vindicta,warden,paradox,wraith,mo & krill,mcginnis,seven,haze,bebop,dynamo,pocket
6425184,10:55,1,haze,dynamo,pocket,infernus,viscous,shiv,warden,vindicta,lady geist,kelvin,mcginnis,seven
6425185,37:26,1,paradox,kelvin,abrams,ivy,shiv,seven,mo & krill,haze,bebop,mcginnis,infernus,vindicta
6425186,28:04,0,vindicta,bebop,grey talon,haze,seven,shiv,wraith,lady geist,ivy,yamato,dynamo,infernus
6425188,33:55,1,bebop,abrams,paradox,warden,dynamo,vindicta,infernus,lady geist,seven,wraith,shiv,haze
6425189,33:48,0,vindicta,mcginnis,lady geist,wraith,grey talon,haze,infernus,seven,dynamo,abrams,bebop,pocket
6425190,43:47,0,ivy,infernus,shiv,vindicta,wraith,grey talon,mcginnis,seven,lady geist,abrams,dynamo,haze
6425191,24:17,0,paradox,vindicta,pocket,ivy,yamato,seven,viscous,mcginnis,haze,dynamo,abrams,grey talon
6425192,30:09,1,abrams,seven,shiv,grey talon,viscous,infernus,ivy,dynamo,paradox,bebop,yamato,mcginnis
6425193,16:10,0,haze,mcginnis,dynamo,lash,grey talon,vindicta,warden,pocket,abrams,seven,wraith,infernus
6425194,33:15,1,infernus,yamato,vindicta,seven,haze,warden,mcginnis,abrams,shiv,mo & krill,kelvin,ivy
6425202,32:58,0,infernus,bebop,abrams,dynamo,paradox,yamato,wraith,haze,grey talon,warden,mcginnis,seven
6425203,13:36,0,vindicta,haze,ivy,yamato,mo & krill,grey talon,kelvin,paradox,infernus,bebop,seven,wraith
6425204,41:23,0,kelvin,haze,dynamo,seven,mo & krill,infernus,viscous,abrams,lady geist,vindicta,ivy,wraith
6425205,36:14,0,kelvin,mo & krill,mcginnis,yamato,vindicta,haze,infernus,dynamo,pocket,lady geist,seven,grey talon
6425206,21:59,1,wraith,seven,yamato,kelvin,mcginnis,abrams,paradox,haze,grey talon,warden,bebop,dynamo
6425210,54:19,1,warden,paradox,wraith,shiv,infernus,haze,yamato,bebop,vindicta,viscous,seven,mcginnis
6425212,41:41,1,abrams,bebop,seven,pocket,wraith,vindicta,grey talon,infernus,haze,ivy,lady geist,yamato
6425213,30:31,1,warden,paradox,shiv,viscous,mo & krill,grey talon,lady geist,haze,mcginnis,dynamo,kelvin,infernus
6425216,32:15,0,warden,haze,kelvin,wraith,seven,vindicta,lash,viscous,ivy,infernus,bebop,pocket
6425217,54:22,1,grey talon,bebop,haze,wraith,pocket,dynamo,paradox,vindicta,lady geist,infernus,seven,viscous
6425219,11:55,1,vindicta,lady geist,dynamo,mo & krill,infernus,seven,paradox,bebop,yamato,mcginnis,pocket,wraith
6425223,19:37,0,yamato,paradox,dynamo,viscous,mcginnis,bebop,infernus,warden,grey talon,haze,wraith,lash
6425230,36:06,1,viscous,grey talon,vindicta,infernus,lady geist,shiv,kelvin,lash,paradox,pocket,bebop,seven
6425232,39:11,0,pocket,paradox,shiv,seven,ivy,infernus,abrams,haze,warden,vindicta,wraith,viscous
6425234,34:58,0,infernus,wraith,bebop,kelvin,paradox,seven,pocket,yamato,shiv,dynamo,viscous,vindicta
6425235,9:57,1,yamato,shiv,vindicta,haze,dynamo,seven,wraith,infernus,pocket,viscous,paradox,mcginnis
6425236,14:47,0,lash,infernus,wraith,bebop,vindicta,seven,shiv,grey talon,viscous,paradox,haze,dynamo
6425237,42:52,1,infernus,paradox,mo & krill,shiv,vindicta,viscous,wraith,seven,haze,grey talon,mcginnis,bebop
6425238,34:51,1,haze,vindicta,warden,yamato,pocket,lady geist,seven,bebop,infernus,abrams,mcginnis,wraith
6425247,37:34,0,lash,vindicta,lady geist,warden,seven,haze,paradox,bebop,mcginnis,kelvin,shiv,infernus
6425250,36:27,0,warden,ivy,bebop,yamato,vindicta,haze,grey talon,pocket,seven,wraith,shiv,paradox
6425251,16:32,1,bebop,ivy,kelvin,grey talon,yamato,lady geist,seven,wraith,vindicta,warden,abrams,mcginnis
6425252,27:22,0,infernus,grey talon,abrams,viscous,haze,mo & krill,mcginnis,vindicta,bebop,ivy,seven,dynamo
6425253,18:46,1,ivy,infernus,abrams,yamato,seven,shiv,haze,bebop,grey talon,viscous,vindicta,warden
6425255,35:03,0,haze,bebop,warden,infernus,wraith,paradox,mcginnis,vindicta,shiv,seven,mo & krill,yamato
6425257,36:01,0,grey talon,wraith,seven,vindicta,haze,pocket,infernus,shiv,mo & krill,paradox,lash,lady geist
6425258,31:20,1,mcginnis,haze,kelvin,paradox,bebop,yamato,shiv,vindicta,seven,viscous,grey talon,infernus
6425259,20:57,0,bebop,vindicta,seven,lady geist,haze,ivy,infernus,pocket,wraith,mo & krill,kelvin,dynamo
6425260,36:37,1,wraith,haze,infernus,abrams,lady geist,paradox,mo & krill,yamato,seven,dynamo,viscous,grey talon
6425261,43:57,1,lady geist,paradox,seven,vindicta,mo & krill,bebop,wraith,dynamo,infernus,yamato,mcginnis,grey talon
6425262,29:37,0,wraith,mcginnis,lady geist,infernus,viscous,seven,haze,bebop,ivy,vindicta,paradox,abrams
6425263,31:51,0,mcginnis,seven,mo & krill,bebop,vindicta,infernus,grey talon,shiv,ivy,abrams,pocket,haze
6425265,49:30,1,dynamo,infernus,seven,abrams,bebop,vindicta,wraith,grey talon,mcginnis,lady geist,yamato,haze
6425267,31:32,1,yamato,pocket,lady geist,infernus,paradox,vindicta,haze,bebop,grey talon,ivy,seven,shiv
