matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300178,19:12,0,infernus,dynamo,pocket,shiv,seven,lady geist,mcginnis,vindicta,abrams,haze,wraith,yamato
6300179,21:21,1,infernus,dynamo,haze,ivy,vindicta,seven,grey talon,wraith,kelvin,mcginnis,viscous,abrams
6300181,20:46,1,viscous,vindicta,pocket,mo & krill,paradox,haze,infernus,seven,mcginnis,abrams,kelvin,lady geist
6300189,24:33,1,vindicta,bebop,grey talon,dynamo,mcginnis,seven,haze,infernus,paradox,warden,mo & krill,yamato
6300190,41:15,1,kelvin,pocket,seven,mcginnis,vindicta,grey talon,haze,abrams,viscous,lash,wraith,lady geist
6300191,19:24,0,mcginnis,paradox,bebop,dynamo,warden,seven,shiv,abrams,yamato,infernus,grey talon,haze
6300193,23:53,1,ivy,paradox,haze,mcginnis,abrams,bebop,warden,infernus,pocket,lady geist,shiv,seven
6300194,41:31,0,seven,mo & krill,wraith,kelvin,bebop,infernus,grey talon,yamato,warden,dynamo,mcginnis,haze
6300202,14:25,1,shiv,grey talon,kelvin,mcginnis,pocket,infernus,vindicta,wraith,seven,abrams,haze,bebop
6300203,29:20,1,vindicta,yamato,abrams,viscous,infernus,ivy,wraith,shiv,bebop,seven,lady geist,dynamo
6300204,22:54,1,kelvin,bebop,mo & krill,mcginnis,wraith,grey talon,shiv,infernus,seven,lady geist,paradox,viscous
6300205,39:18,0,seven,viscous,kelvin,paradox,haze,yamato,vindicta,shiv,bebop,wraith,grey talon,abrams
6300209,30:22,0,lady geist,paradox,mo & krill,warden,vindicta,mcginnis,viscous,abrams,shiv,infernus,haze,yamato
6300210,18:59,1,yamato,lash,viscous,grey talon,bebop,mo & krill,vindicta,abrams,haze,wraith,seven,infernus
6300213,25:34,0,warden,yamato,grey talon,wraith,ivy,kelvin,vindicta,lash,bebop,mcginnis,seven,infernus
6300214,44:39,0,paradox,seven,mcginnis,warden,lash,abrams,ivy,wraith,infernus,haze,vindicta,grey talon
6300215,27:32,0,wraith,shiv,infernus,seven,abrams,haze,dynamo,grey talon,paradox,warden,lady geist,vindicta
6300217,45:46,1,paradox,grey talon,haze,infernus,bebop,pocket,lady geist,mcginnis,vindicta,seven,lash,yamato
6300220,35:45,1,lady geist,haze,shiv,bebop,vindicta,grey talon,kelvin,mcginnis,infernus,yamato,seven,warden
6300222,18:00,1,dynamo,vindicta,kelvin,wraith,haze,mo & krill,abrams,pocket,infernus,yamato,seven,grey talon
6300223,42:00,1,paradox,bebop,seven,infernus,lash,dynamo,ivy,lady geist,pocket,vindicta,yamato,grey talon
6300224,35:06,0,seven,haze,bebop,mcginnis,vindicta,infernus,yamato,abrams,wraith,paradox,shiv,viscous
6300229,23:36,0,mcginnis,lady geist,yamato,dynamo,wraith,pocket,bebop,lash,ivy,haze,grey talon,seven
6300230,34:23,1,haze,vindicta,seven,bebop,abrams,paradox,wraith,lady geist,mo & krill,grey talon,infernus,pocket
6300232,48:23,0,infernus,yamato,haze,seven,vindicta,mcginnis,lady geist,wraith,dynamo,paradox,grey talon,bebop
6300234,42:15,0,infernus,abrams,warden,haze,lady geist,viscous,mo & krill,seven,shiv,vindicta,mcginnis,grey talon
6300235,38:01,1,shiv,yamato,seven,lady geist,dynamo,bebop,mo & krill,lash,viscous,wraith,warden,haze
6300236,39:48,1,infernus,dynamo,ivy,seven,lash,pocket,bebop,haze,warden,viscous,wraith,lady geist
6300240,38:45,0,seven,warden,bebop,abrams,dynamo,shiv,grey talon,haze,ivy,yamato,mo & krill,vindicta
6300241,38:52,0,mcginnis,bebop,vindicta,infernus,wraith,abrams,shiv,lash,seven,mo & krill,grey talon,haze
6300245,31:37,1,dynamo,wraith,shiv,kelvin,warden,infernus,ivy,grey talon,bebop,mcginnis,seven,vindicta
6300246,20:19,1,seven,haze,bebop,wraith,lash,abrams,pocket,kelvin,mcginnis,paradox,lady geist,warden
6300247,35:10,0,dynamo,haze,lash,shiv,wraith,vindicta,paradox,grey talon,bebop,infernus,seven,ivy
6300251,20:25,1,infernus,vindicta,bebop,yamato,pocket,wraith,shiv,haze,kelvin,viscous,seven,mcginnis
6300253,55:25,0,shiv,mo & krill,mcginnis,wraith,viscous,yamato,haze,vindicta,warden,lash,lady geist,pocket
6300254,54:42,1,paradox,haze,wraith,yamato,mo & krill,grey talon,dynamo,infernus,pocket,shiv,vindicta,seven
6300257,26:02,1,ivy,pocket,lady geist,bebop,mo & krill,viscous,haze,lash,vindicta,wraith,seven,grey talon
6300260,28:51,0,lash,abrams,seven,wraith,infernus,vindicta,bebop,warden,yamato,pocket,mcginnis,haze
6300261,46:53,1,abrams,wraith,grey talon,lady geist,seven,vindicta,pocket,haze,mcginnis,bebop,viscous,ivy
6300270,13:06,1,wraith,seven,bebop,yamato,vindicta,pocket,dynamo,haze,mcginnis,warden,shiv,paradox
6300272,21:24,0,warden,grey talon,paradox,seven,infernus,abrams,bebop,shiv,haze,wraith,dynamo,vindicta
6300273,17:25,0,yamato,wraith,grey talon,infernus,bebop,paradox,lash,seven,viscous,ivy,mcginnis,haze
